City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
237,Haverfordwest,51.8017,-4.9691,62.17,96,98,6.44,GB,overcast clouds
238,Tuatapere,-46.1333,167.6833,49.82,72,70,15.79,NZ,light rain
239,Port Blair,11.6667,92.75,82.89,78,93,14.5,IN,overcast clouds
240,Bandarbeyla,9.4942,50.8122,78.67,71,87,21.9,SO,overcast clouds
241,Sao Filipe,14.8961,-24.4956,78.13,73,100,5.44,CV,overcast clouds
242,Kavaratti,10.5669,72.642,81.77,78,100,14.56,IN,overcast clouds
243,Maniitsoq,65.4167,-52.9,31.17,58,4,7.27,GL,clear sky
244,Thinadhoo,0.5333,72.9333,82.71,70,100,13.56,MV,overcast clouds
245,Skjervoy,70.0311,20.9714,47.66,82,100,18.7,NO,light rain
246,San Policarpo,12.1791,125.5072,86.22,69,23,7.29,PH,few clouds
247,Alice Springs,-23.7,133.8833,83.75,9,76,10.36,AU,broken clouds
248,Qaqortoq,60.7167,-46.0333,32.5,44,0,5.5,GL,clear sky
249,Jacareacanga,-6.2222,-57.7528,70.95,97,100,0.22,BR,overcast clouds
250,Galle,6.0367,80.217,80.71,81,99,15.23,LK,overcast clouds
251,Coahuayana,18.7333,-103.6833,78.57,92,92,0.34,MX,overcast clouds
252,Quebradanegra,5.1174,-74.4794,61.88,92,100,4.32,CO,overcast clouds
253,Lavrentiya,65.5833,-171.0,32.54,90,100,22.77,RU,light snow
254,Muroto,33.2833,134.15,84.24,71,7,14.32,JP,clear sky
255,Sobolevo,54.4299,31.8996,45.18,98,99,5.61,RU,light rain
256,Oxford,51.7522,-1.256,63.19,92,90,3.44,GB,overcast clouds
257,Guaraniacu,-25.1008,-52.8781,58.03,95,2,3.11,BR,clear sky
258,Hamilton,39.1834,-84.5333,61.57,81,1,0.0,US,clear sky
259,Mount Pleasant,32.7941,-79.8626,64.98,88,1,0.0,US,clear sky
260,Mana,5.6592,-53.7767,78.73,89,61,8.34,GF,broken clouds
261,Athabasca,54.7169,-113.2854,64.22,62,95,7.34,CA,overcast clouds
262,Beruwala,6.4788,79.9828,81.82,77,98,11.83,LK,overcast clouds
263,Half Moon Bay,37.4636,-122.4286,74.52,85,90,1.99,US,mist
264,Cervo,43.6702,-7.4101,57.2,87,66,4.79,ES,broken clouds
265,Republic,37.12,-93.4802,68.14,73,1,4.61,US,clear sky
266,Ribeira Grande,38.5167,-28.7,70.66,82,100,20.02,PT,overcast clouds
267,Sulangan,11.1373,123.7228,83.73,73,98,2.51,PH,overcast clouds
268,Aksarka,66.5606,67.7975,35.98,90,32,4.9,RU,scattered clouds
