City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Elat,IL,2021-09-21 20:28:03,29.5581,34.9482,87.64,29,0,13.8
253,Constitucion,CL,2021-09-21 20:28:03,-35.3333,-72.4167,56.84,77,17,10.54
254,Parkes,AU,2021-09-21 20:28:04,-33.1333,148.1833,29.97,94,0,3.33
255,Rocha,UY,2021-09-21 20:28:04,-34.4833,-54.3333,54.01,74,16,12.55
256,Cayenne,GF,2021-09-21 20:28:04,4.9333,-52.3333,87.84,78,40,5.01
257,Hasaki,JP,2021-09-21 20:28:05,35.7333,140.8333,70.2,87,100,0.78
258,Sal Rei,CV,2021-09-21 20:28:05,16.1833,-22.9167,79.36,80,37,16.08
259,Bisira,PA,2021-09-21 20:28:06,8.5196,-81.7115,68.47,76,99,2.1
260,Hopkinsville,US,2021-09-21 20:25:30,36.8656,-87.4886,83.5,94,61,3.76
261,Kavieng,PG,2021-09-21 20:28:06,-2.5744,150.7967,81.03,77,99,9.64
262,Inongo,CD,2021-09-21 20:28:06,-1.95,18.2667,72.86,79,71,3.04
263,Zakamensk,RU,2021-09-21 20:28:07,50.3741,103.2863,37.6,94,87,2.73
264,Savannakhet,LA,2021-09-21 20:28:08,16.566,104.751,73.8,95,74,3.98
265,San Carlos De Bariloche,AR,2021-09-21 20:27:58,-41.1456,-71.3082,62.35,29,40,16.11
266,Andijon,UZ,2021-09-21 20:28:09,40.7821,72.3442,65.55,23,0,6.06
267,Airai,TL,2021-09-21 20:28:09,-8.9266,125.4092,59.9,77,67,3.51
268,Krasnoselkup,RU,2021-09-21 20:28:09,65.7,82.4667,28.44,93,86,11.86
269,Westport,US,2021-09-21 20:28:10,41.1415,-73.3579,77.83,71,75,1.01
270,Amahai,ID,2021-09-21 20:28:10,-3.3333,128.9167,76.44,89,99,2.13
271,Jumla,NP,2021-09-21 20:28:10,29.2747,82.1838,55.92,91,36,3.53
